question,response_1,response_2,response_3,response_4,correct_response,response_correcte_2,mediation_text
L’effet “Rabbit hole” sur les réseaux désigne le fait que l'algorithme nous plonge dans...  ,Une spirale de contenus similaires,Un risque d’isolement social,Des découvertes inattendues,Une profonde joie,1,,"L’effet “Rabbit hole” est la conséquence du fonctionnement des algorithmes de recommendation : on nous propose des contenus personnalisés en fonction de notre “profil” (nos préférences, notre état émotionnel) qui est généré par des algorithmes à partir de nos données. Les réseaux cherchent à “maximiser l’engagement des utilisateurs” (= nous faire rester le plus longtemps possible sur leur site en créant une [b][i]utilisation addictive[/i][/b]). Ces algorithmes ont pour but de capter notre attention le plus longtemps possible."
"Sur Instagram, un.e ""ami.e proche"" est un.e abonné.e qui a ",Plus de 1000 abonnés,Accès à un contenu plus personnel,Été abonné au compte depuis plus de 2 ans,Liké et commenté toutes les publications,2,,"La fonction ""ami proche"" permet de sélectionner certains abonnés qui auront accès à des storys que les abonnés ""classiques"" ne peuvent pas voir. "
Quel réseau social permet de choisir parmi différentes communautés et algorithmes de recommendation ? ,Instagram,Tik Tok,Facebook,Mastodon,4,,
Comment s'appelle la sélection de tik tok générée pour chaque utilisateur ? ,Pour toi,Instant tik tok,Tik Tok perso,Chacun pour soi,1,,
Quand a été créé Instagram ? ,1999,2006,2010,2016,3,,
Que peut provoquer une mauvaise utilisation des réseaux sociaux ?,Seulement des choses positives ,Des problèmes comme le harcèlement ou la perte de vie privée,Une amélioration des notes à l'école ,Une augmentation de la vitesse d'internet,2,,
Qu'est ce qu'un réseau social ?,Un jeu vidéo que l'on joue sans internet,Un appareil éléctronique comme un téléphone,Un site pour communiquer et partager avec d'autre personnes,Un programme pour réparer un ordinateur ,3,,
Quelle est la couleur de snapchat ? ,Rouge ,Bleu,Vert,Jaune,4,,
Laquelle de ces applications permet d'écouter de la musique ?,Instagram,Snapchat,Spotify,Tiktok,3,,
Quel est le pourcentage de batterie max d'un téléphone ?,10%,25%,10000%,100%,4,,
Peut-on faire confiance à tout sur internet ?,Oui tout est toujours vrai ,Non certaines informations peuvent être fausses,"Oui, seulement sur les réseaux sociaux",Oui si c'est écrit en gros ,2,,
Comment s'appelle l'application qui permet de regarder des vidéos ?,Youtube,WhatsApp,Message,Discord,1,,
Quelle application ne permet pas de regarder des lives ?,Tiktok,Calculatrice,Twitch,Youtube,2,,
De quelle couleur est le logo de youtube ?,Rouge et Blanc,Rose et Noir,Blanc et Bleu,Rouge et Vert,1,,
A quoi sert un mot de passe ?,Discuter avec ses amis ,Protéger l'accès à ses données,Avoir un contrôle parental,Partager ses données,2,,
Comment s'appelle la monaie virtuelle de Fortnite ? ,Les pièces,Les tickets,Les Vbucks,Les robux,3,,
Comment s'appelle les personnes qui font des lives ? ,des streamers,des vidéotateur,des liveurs,des enregistreures,1,,
Quel joueur de foot français a le plus d'abonnés sur Instagram ?,Ryan Cherki,Lamine Yamal,Jude Bellingham,Kylian Mbappé,4,,
Qui a le plus d'abonnés sur snapchat ?,Nasdas,Hmi,Benoît Chevalier,Fares Savaltores,2,,
Qui est le plus riche ?,Marine Le Pen,Emmanuel Macron,Donald Trump,Barack Obama,3,,
Lequel de ces jeux n'est pas sorti en 2017 ?,Mario Odyssey,Fortnite,Brawlstar,Roblox,4,,
En quelle année est sortie Twiter ?,2004,2006,2012,2026,2,,
Sur quelle application ne peut on pas regarder de vidéos ?,Youtube,Dailymotion,Deezer,Vimeo,3,,
Qu'est ce qu'une trend ?,Une vidéo qui a bien fonctionnée,Un format de vidéo qui est répétée par de nombreux utilisateurs,Un onglet Twitter,Un jeu dangereux,2,,
Lequel de ces résaux sociaux ne permet pas de faire un live ?,Kick,Twitch,Youtube,WhatsApp,4,,
Quel service propose Vidoleo ?,Un réseau social de vidéos en direct,Commander des messages personnalisés de célébrités,Des transactions de cryptomonnaies,Une plateforme de diffusion de jeux vidéo,2,,
Quel est le joueur de foot espagnol le plus connu sur les réseaux sociaux ?,Lamine Yamal,Fermine tores,Nicolas Williams,Christiano Ronaldo,1,,
